TimeInstant,son_laeq,son_lamax,son_lamin,son_la1,son_la10,son_la50,son_la90,son_la99
2025-05-07 00:00:00,61.72795295715332,70.70844841003418,53.89524555206299,67.73483848571777,65.14776420593262,59.82814884185791,54.96562957763672,54.19473743438721
2025-05-07 00:05:00,61.72795295715332,70.70844841003418,53.89524555206299,67.73483848571777,65.14776420593262,59.82814884185791,54.96562957763672,54.19473743438721
2025-05-07 00:10:00,61.72795295715332,70.70844841003418,53.89524555206299,67.73483848571777,65.14776420593262,59.82814884185791,54.96562957763672,54.19473743438721
2025-05-07 00:15:00,61.72795295715332,70.70844841003418,53.89524555206299,67.73483848571777,65.14776420593262,59.82814884185791,54.96562957763672,54.19473743438721
2025-05-07 00:20:00,61.72795295715332,70.70844841003418,53.89524555206299,67.73483848571777,65.14776420593262,59.82814884185791,54.96562957763672,54.19473743438721
2025-05-07 00:25:00,61.72795295715332,70.70844841003418,53.89524555206299,67.73483848571777,65.14776420593262,59.82814884185791,54.96562957763672,54.19473743438721
2025-05-07 00:30:00,61.72795295715332,70.70844841003418,53.89524555206299,67.73483848571777,65.14776420593262,59.82814884185791,54.96562957763672,54.19473743438721
2025-05-07 00:35:00,61.72795295715332,70.70844841003418,53.89524555206299,67.73483848571777,65.14776420593262,59.82814884185791,54.96562957763672,54.19473743438721
2025-05-07 00:40:00,61.72795295715332,70.70844841003418,53.89524555206299,67.73483848571777,65.14776420593262,59.82814884185791,54.96562957763672,54.19473743438721
2025-05-07 00:45:00,61.72795295715332,70.70844841003418,53.89524555206299,67.73483848571777,65.14776420593262,59.82814884185791,54.96562957763672,54.19473743438721
2025-05-07 00:50:00,61.72795295715332,70.70844841003418,53.89524555206299,67.73483848571777,65.14776420593262,59.82814884185791,54.96562957763672,54.19473743438721
2025-05-07 00:55:00,61.72795295715332,70.70844841003418,53.89524555206299,67.73483848571777,65.14776420593262,59.82814884185791,54.96562957763672,54.19473743438721
2025-05-07 01:00:00,61.72795295715332,70.70844841003418,53.89524555206299,67.73483848571777,65.14776420593262,59.82814884185791,54.96562957763672,54.19473743438721
2025-05-07 01:05:00,61.72795295715332,70.70844841003418,53.89524555206299,67.73483848571777,65.14776420593262,59.82814884185791,54.96562957763672,54.19473743438721
2025-05-07 01:10:00,61.72795295715332,70.70844841003418,53.89524555206299,67.73483848571777,65.14776420593262,59.82814884185791,54.96562957763672,54.19473743438721
2025-05-07 01:15:00,61.72795295715332,70.70844841003418,53.89524555206299,67.73483848571777,65.14776420593262,59.82814884185791,54.96562957763672,54.19473743438721
2025-05-07 01:20:00,61.72795295715332,70.70844841003418,53.89524555206299,67.73483848571777,65.14776420593262,59.82814884185791,54.96562957763672,54.19473743438721
2025-05-07 01:25:00,61.72795295715332,70.70844841003418,53.89524555206299,67.73483848571777,65.14776420593262,59.82814884185791,54.96562957763672,54.19473743438721
